STATE,DISTRICT,BLOCK,CAT1,VAL1,CAT2,VAL2
ANDHRA PRADESH,Tirupati,YERPEDU,SGWE_NC,97.95574795574797,CAU_NC,critical
ANDHRA PRADESH,Parvathipuram Manyam,KURUPAM,SGWE_NC,1.6403988420714055,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,RAJAVOMMANGI,SGWE_NC,1.6506251686606097,CAU_NC,safe
ANDHRA PRADESH,Srikakulam,AMADALAVALASA,SGWE_NC,101.07526881720428,CAU_NC,over_exploited
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,DUTTALUR,SGWE_NC,7.623419228530609,CAU_NC,safe
ANDHRA PRADESH,Prakasam,TRIPURANTHAKAM,SGWE_NC,90.8620164483704,CAU_NC,critical
ANDHRA PRADESH,Tirupati,NAIDUPETA,SGWE_NC,14.881336777526638,CAU_NC,safe
ANDHRA PRADESH,Eluru,DWARAKA TIRUMALA,SGWE_NC,97.05149501661128,CAU_NC,critical
ANDHRA PRADESH,Vizianagaram,VIZIANAGARAM MANDAL,SGWE_NC,39.55277710988218,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,GANGAVARAM (EAST GODAVARI),SGWE_NC,1.5468347178458897,CAU_NC,safe
ANDHRA PRADESH,Chittoor,PULICHERLA,SGWE_NC,74.80378671413544,CAU_NC,semi_critical
ANDHRA PRADESH,Chittoor,NAGARI,SGWE_NC,45.647236941710815,CAU_NC,safe
ANDHRA PRADESH,Chittoor,THAVANAMPALLE,SGWE_NC,57.979742677251565,CAU_NC,safe
ANDHRA PRADESH,Tirupati,GUDUR,SGWE_NC,5.797603830404923,CAU_NC,safe
ANDHRA PRADESH,Prakasam,PAMUR,SGWE_NC,95.97501734906315,CAU_NC,critical
ANDHRA PRADESH,Ananthapuramu,KALYANDURG,SGWE_NC,37.01935428620365,CAU_NC,safe
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,VOLETIVARIPALEM,SGWE_NC,10.447761194029853,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,GUDEM KOTHAVEEDHI,SGWE_NC,1.3869863013698631,CAU_C,Hilly Area
ANDHRA PRADESH,Kurnool,KOWTHALAM,SGWE_NC,27.161270040867652,CAU_NC,safe
ANDHRA PRADESH,Prakasam,KOMAROLU,SGWE_NC,17.44442296539726,CAU_NC,safe
ANDHRA PRADESH,Eluru,AGIRIPALLE,SGWE_NC,47.88988897839107,CAU_NC,safe
ANDHRA PRADESH,Kurnool,MADDIKERA EAST,SGWE_NC,40.01660126773318,CAU_NC,safe
ANDHRA PRADESH,Eluru,KAMAVARAPUKOTA,SGWE_NC,109.59646371025241,CAU_NC,over_exploited
ANDHRA PRADESH,Kurnool,TUGGALI,SGWE_NC,30.41573971078976,CAU_NC,safe
ANDHRA PRADESH,Annamayya,THAMBALLAPALLE,SGWE_NC,87.6497468198098,CAU_NC,semi_critical
ANDHRA PRADESH,Nandyal,DHONE,SGWE_NC,24.925679138903128,CAU_NC,safe
ANDHRA PRADESH,Sri Sathya Sai,AMADAGUR,SGWE_NC,44.49434464404525,CAU_NC,semi_critical
ANDHRA PRADESH,Alluri Sitharama Raju,Y RAMAVARAM,SGWE_NC,0.44282777162739206,CAU_NC,safe
ANDHRA PRADESH,Sri Sathya Sai,BATHALAPALLE,SGWE_NC,67.70882678035687,CAU_NC,safe
ANDHRA PRADESH,Sri Sathya Sai,SOMANDEPALLE,SGWE_NC,72.28859761048601,CAU_NC,semi_critical
ANDHRA PRADESH,Parvathipuram Manyam,SALUR,SGWE_NC,24.59065197975588,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,HUKUMPETA,SGWE_NC,0.5844535359438925,CAU_NC,safe
ANDHRA PRADESH,Eluru,AGIRIPALLE,SGWE_NC,64.86243683323976,CAU_NC,safe
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,SYDAPURAM,SGWE_NC,36.31778058007566,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,PADERU,SGWE_NC,2.0673813169984685,CAU_C,Hilly Area
ANDHRA PRADESH,Srikakulam,JALUMURU,SGWE_NC,35.714285714285715,CAU_NC,safe
ANDHRA PRADESH,Srikakulam,ICHCHAPURAM,SGWE_NC,23.361522198731503,CAU_NC,safe
ANDHRA PRADESH,Srikakulam,PALASA,SGWE_NC,123.98373983739839,CAU_NC,over_exploited
ANDHRA PRADESH,Sri Sathya Sai,NAMBULIPULIKUNTA,SGWE_NC,131.40897553599393,CAU_C,Hilly Area
ANDHRA PRADESH,Nandyal,KOTHAPALLE,SGWE_NC,74.63013698630138,CAU_NC,safe
ANDHRA PRADESH,Ananthapuramu,PAMIDI,SGWE_NC,24.600920575849575,CAU_NC,safe
ANDHRA PRADESH,Eluru,KOYYALAGUDEM,SGWE_NC,64.00625978090767,CAU_NC,safe
ANDHRA PRADESH,Chittoor,KARVETINAGAR,SGWE_NC,78.41409691629956,CAU_NC,semi_critical
ANDHRA PRADESH,Alluri Sitharama Raju,PADERU,SGWE_NC,0.6976237192064529,CAU_C,Hilly Area
ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI,SGWE_NC,3.0303030303030303,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,RAMPACHODAVARAM,SGWE_NC,0.33277870216306155,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE,SGWE_NC,2.459016393442623,CAU_C,Hilly Area
ANDHRA PRADESH,Prakasam,PODILI,SGWE_NC,85.35469107551488,CAU_NC,semi_critical
ANDHRA PRADESH,Alluri Sitharama Raju,HUKUMPETA,SGWE_NC,1.6901408450704227,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,MAREDUMILLI,SGWE_NC,0.5006257822277848,CAU_C,Hilly Area
ANDHRA PRADESH,Parvathipuram Manyam,SEETHAMPETA,SGWE_NC,10.324825986078885,CAU_NC,safe
ANDHRA PRADESH,Chittoor,THAVANAMPALLE,SGWE_NC,49.94515539305302,CAU_NC,safe
ANDHRA PRADESH,Y.S.R Kadapa,KALASAPADU,SGWE_NC,58.90456989247313,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI,SGWE_NC,0.1795332136445242,CAU_NC,safe
ANDHRA PRADESH,Annamayya,GALIVEEDU,SGWE_NC,25.340466926070036,CAU_NC,safe
ANDHRA PRADESH,Vizianagaram,GANTYADA,SGWE_NC,0,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI,SGWE_NC,1.3123359580052494,CAU_NC,safe
ANDHRA PRADESH,Tirupati,K V B PURAM,SGWE_NC,69.33203315455874,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,ANANTHAGIRI,SGWE_NC,0.2919403607548744,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE,SGWE_NC,2.4489795918367347,CAU_C,Hilly Area
ANDHRA PRADESH,Tirupati,SRIKALAHASTI,SGWE_NC,25.157232704402517,CAU_NC,safe
ANDHRA PRADESH,Chittoor,KUPPAM,SGWE_NC,89.05863172513737,CAU_NC,semi_critical
ANDHRA PRADESH,Chittoor,NINDRA,SGWE_NC,89.70334539796367,CAU_NC,semi_critical
ANDHRA PRADESH,Sri Sathya Sai,KANAGANAPALLE,SGWE_NC,30.48699910606708,CAU_NC,safe
ANDHRA PRADESH,East Godavari,RANGAMPETA,SGWE_NC,72.93064876957494,CAU_NC,semi_critical
ANDHRA PRADESH,Tirupati,RENIGUNTA,SGWE_NC,8.365400702693659,CAU_NC,safe
ANDHRA PRADESH,Annamayya,RAMASAMUDRAM,SGWE_NC,40.85531251803543,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,MAREDUMILLI,SGWE_NC,0.3490401396160558,CAU_NC,safe
ANDHRA PRADESH,Chittoor,VIJAYA PURAM,SGWE_NC,51.42617449664431,CAU_NC,safe
ANDHRA PRADESH,Chittoor,KUPPAM,SGWE_NC,134.7949080622348,CAU_NC,over_exploited
ANDHRA PRADESH,Tirupati,YARRAVARIPALEM,SGWE_NC,45.660727206946454,CAU_NC,safe
ANDHRA PRADESH,Chittoor,GANGADHARA NELLORE,SGWE_NC,61.84770003865481,CAU_NC,safe
ANDHRA PRADESH,Eluru,MUSUNURU,SGWE_NC,70.49429657794676,CAU_NC,semi_critical
ANDHRA PRADESH,Sri Sathya Sai,MUDIGUBBA,SGWE_NC,22.508763144717076,CAU_NC,safe
ANDHRA PRADESH,Tirupati,CHITTAMUR,SGWE_NC,6.325739214735822,CAU_NC,safe
ANDHRA PRADESH,Anakapalli,SABBAVARAM,SGWE_NC,13.309776207302711,CAU_NC,safe
ANDHRA PRADESH,Ananthapuramu,PUTLUR,SGWE_NC,70.17166572344841,CAU_NC,semi_critical
ANDHRA PRADESH,Sri Sathya Sai,DHARMAVARAM,SGWE_NC,49.191479870636776,CAU_NC,safe
ANDHRA PRADESH,Nandyal,BETHAMCHERLA,SGWE_NC,65.6451935247485,CAU_NC,safe
ANDHRA PRADESH,Tirupati,SRIKALAHASTI,SGWE_NC,80.90338512192612,CAU_NC,semi_critical
ANDHRA PRADESH,Nandyal,BANAGANAPALLE,SGWE_NC,22.141692335568038,CAU_NC,safe
ANDHRA PRADESH,Eluru,CHINTALAPUDI,SGWE_NC,67.11838681699913,CAU_NC,safe
ANDHRA PRADESH,Ananthapuramu,GOOTY,SGWE_NC,16.52812681229461,CAU_NC,safe
ANDHRA PRADESH,Vizianagaram,RAMABHADRAPURAM,SGWE_NC,9.224091155724363,CAU_NC,safe
ANDHRA PRADESH,Annamayya,KALAKADA,SGWE_NC,49.899672906187305,CAU_NC,safe
ANDHRA PRADESH,Tirupati,OJILI,SGWE_NC,32.77428371767994,CAU_NC,safe
ANDHRA PRADESH,Eluru,T NARASAPURAM,SGWE_NC,79.6597876969737,CAU_NC,semi_critical
ANDHRA PRADESH,Eluru,PEDAPADU,SGWE_NC,68.86067261496225,CAU_NC,safe
ANDHRA PRADESH,Ananthapuramu,BRAHMASAMUDRAM,SGWE_NC,42.11023622047244,CAU_NC,safe
ANDHRA PRADESH,Tirupati,NARAYANAVANAM,SGWE_NC,152.38949391415758,CAU_NC,over_exploited
ANDHRA PRADESH,Chittoor,IRALA,SGWE_NC,44.22538963633942,CAU_NC,safe
ANDHRA PRADESH,Chittoor,GANGADHARA NELLORE,SGWE_NC,84.1549295774648,CAU_NC,semi_critical
ANDHRA PRADESH,Y.S.R Kadapa,CHAKNAYAPET,SGWE_NC,85.37620936869213,CAU_NC,semi_critical
ANDHRA PRADESH,Chittoor,PUTHALAPATTU,SGWE_NC,98.54899283031752,CAU_NC,critical
ANDHRA PRADESH,Nandyal,KOLIMIGUNDLA,SGWE_NC,23.153170001870212,CAU_NC,safe
ANDHRA PRADESH,Tirupati,SRIKALAHASTI,SGWE_NC,82.89781942692377,CAU_NC,semi_critical
ANDHRA PRADESH,Tirupati,RENIGUNTA,SGWE_NC,24.385101897399856,CAU_NC,safe
ANDHRA PRADESH,Eluru,CHINTALAPUDI,SGWE_NC,41.69747415491554,CAU_NC,safe
ANDHRA PRADESH,Sri Sathya Sai,PENU KONDA,SGWE_NC,34.14698547748276,CAU_NC,safe
ANDHRA PRADESH,Tirupati,RENIGUNTA,SGWE_NC,204.55729166666666,CAU_NC,over_exploited
ANDHRA PRADESH,Nandyal,KOTHAPALLE,SGWE_NC,39.40863787375415,CAU_NC,safe
ANDHRA PRADESH,Eluru,CHINTALAPUDI,SGWE_NC,60.452119309262166,CAU_NC,safe
ANDHRA PRADESH,Chittoor,KARVETINAGAR,SGWE_NC,55.18005540166205,CAU_NC,safe
ANDHRA PRADESH,Chittoor,SODAM,SGWE_NC,53.335666783339164,CAU_NC,safe
ANDHRA PRADESH,Anakapalli,SABBAVARAM,SGWE_NC,39.74121996303141,CAU_NC,safe
ANDHRA PRADESH,Anakapalli,KASIMKOTA,SGWE_NC,58.59267083773463,CAU_NC,safe
ANDHRA PRADESH,Tirupati,PUTTUR,SGWE_NC,57.54005167958657,CAU_NC,safe
ANDHRA PRADESH,Tirupati,CHITTAMUR,SGWE_NC,36.94804707999101,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,GUDEM KOTHAVEEDHI,SGWE_NC,1.4892685063512923,CAU_C,Hilly Area
ANDHRA PRADESH,Chittoor,PUNGANUR,SGWE_NC,99.37312619242302,CAU_NC,critical
ANDHRA PRADESH,Srikakulam,ETCHERLA,SGWE_NC,75.22630915549445,CAU_NC,semi_critical
ANDHRA PRADESH,Sri Sathya Sai,TANAKAL,SGWE_NC,83.90753641545282,CAU_NC,semi_critical
ANDHRA PRADESH,Chittoor,PUNGANUR,SGWE_NC,46.817748596844226,CAU_NC,safe
ANDHRA PRADESH,Alluri Sitharama Raju,CHINTAPALLE,SGWE_NC,2.7027027027027026,CAU_C,Hilly Area
ANDHRA PRADESH,Chittoor,VEDURU KUPPAM,SGWE_NC,96.21179509255275,CAU_NC,critical
ANDHRA PRADESH,Y.S.R Kadapa,KONDAPURAM,SGWE_NC,99.44013358216284,CAU_NC,critical
